tweet_id,company,company_count,created_at,favorite_count,retweet_count,screen_name,tweet,polaridade
1128984581330407424,BANCO DO BRASIL,1,2019-05-16 11:24:34,0,3,AgenciaEstado,RT @colunadobroad: Diretor afastado do BB é indicado para o Patagônia @estadao:  https://t.co/Lb1D94DIPE https://t.co/tlms2WZRG6,0
1128600913092857856,IGUATEMI,1,2019-05-15 10:00:00,4,1,AgenciaEstado,"Iguatemi vai repensar mix de lojistas para reverter queda na ocupação dos shoppings
https://t.co/ZTmlbuFU8r Foto: Gabriela Biló/Estadão https://t.co/35VEeDYjRH",1
1128245224294293504,IRB,1,2019-05-14 10:26:37,0,1,AgenciaEstado,RT @colunadobroad: IRB Brasil Re busca incrementar negócios no México @colunadobroad:  https://t.co/BzCXlaCcBJ https://t.co/BcfR48AicM,1
1127542253159952384,ITAÚ,1,2019-05-12 11:53:16,0,4,AgenciaEstado,RT @colunadobroad: Itaú Unibanco aposta em novo modelo de agências rumo ao banco do futuro @estadao:  https://t.co/v8dnYGS5XU https://t.co/…,1
1127153121363419137,IGUATEMI,1,2019-05-11 10:07:00,6,1,AgenciaEstado,Iguatemi fecha parceria com @iFood e acirra concorrência nas entregas via shoppings https://t.co/MjqqD85fzM Foto: Helvio Romero/Estadão https://t.co/tZif0Aj44U,1
1126927749791277059,VALE,1,2019-05-10 19:11:27,1,1,AgenciaEstado,"As três prioridades daqui em diante são segurança, pessoas e reparação, diz presidente interino da Vale https://t.co/3P9lMob9ll Foto: Wilton Júnior/Estadão https://t.co/6FRbZOSwC3",1
1126435268192559104,CIELO,1,2019-05-09 10:34:30,2,0,AgenciaEstado,"Atacada, Cielo diz que não vai virar uma nova Kodak #maquininhas #cielo @AgenciaEstado :  https://t.co/RL4mYjAlYc https://t.co/CcoUFkz88o",0
1126078103917334529,PETROBRAS,1,2019-05-08 10:55:16,4,1,AgenciaEstado,"Fique de olho: Mercado olha Petrobras e balança chinesa, com Previdência no radar antes do Copom.",0
1125715108217466880,PETROBRAS,1,2019-05-07 10:52:51,10,2,AgenciaEstado,Fique de olho: Comércio dos EUA e China nutre cautela em meio à espera por Previdência e Petrobras,0
1124275377000603649,TIM,1,2019-05-03 11:31:52,0,2,AgenciaEstado,RT @colunadobroad: Tim deslancha na oferta de chamadas de voz pela rede 4G @estadao:  https://t.co/gPqTZUB6fZ https://t.co/hU0UWBU0vX,1
1123883457438994432,SANTANDER,1,2019-05-02 09:34:31,0,3,AgenciaEstado,RT @colunadobroad: Santander e Bonsucesso avançam em negociações da Olé @colunadobroad:  https://t.co/6YDvh0gBQh https://t.co/gT8TNcJbjp,1
